Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel
0,0,49.4,10.0,0.0,4.34,4.9399999999999995,0.0
0,0,843.54,189.0,89.0,142.38,4.463174603174603,0.4708994708994709
0,0,706.03,237.0,140.0,192.03,2.9790295358649788,0.5907172995780591
0,0,293.05,20.0,0.0,0.89,14.6525,0.0
0,0,379.67,26.0,0.0,1.23,14.602692307692308,0.0
0,0,219.56,24.0,0.0,7.4,9.148333333333333,0.0
0,0,335.68,70.0,31.0,41.7,4.795428571428571,0.44285714285714284
0,0,1001.76,77.0,0.0,8.33,13.00987012987013,0.0
0,0,329.17,35.0,4.0,14.24,9.404857142857143,0.11428571428571428
0,0,821.73,85.0,9.0,18.55,9.667411764705882,0.10588235294117647
0,0,852.19,192.0,90.0,141.78,4.438489583333333,0.46875
0,0,845.58,203.0,86.0,150.53,4.165418719211823,0.4236453201970443
0,0,1162.41,269.0,128.0,183.23,4.321226765799257,0.4758364312267658
0,0,1166.17,179.0,61.0,119.6,6.514916201117319,0.3407821229050279
0,0,1332.46,157.0,72.0,102.61,8.487006369426751,0.4585987261146497
0,0,1128.19,223.0,102.0,146.53,5.059147982062781,0.45739910313901344
0,0,141.45,19.0,0.0,4.08,7.444736842105263,0.0
0,0,177.48,23.0,0.0,4.02,7.716521739130434,0.0
0,0,69.92,6.0,0.0,0.98,11.653333333333334,0.0
0,0,914.15,170.0,56.0,116.74,5.37735294117647,0.32941176470588235
0,0,333.84,34.0,0.0,4.41,9.818823529411764,0.0
0,0,784.46,68.0,3.0,14.13,11.536176470588236,0.04411764705882353
0,0,837.71,61.0,0.0,7.68,13.732950819672132,0.0
0,0,1089.46,207.0,77.0,147.69,5.263091787439614,0.3719806763285024
0,0,507.21,147.0,43.0,115.87,3.450408163265306,0.2925170068027211
0,0,1328.55,182.0,35.0,120.21,7.299725274725274,0.19230769230769232
0,0,1059.05,178.0,45.0,120.63,5.949719101123595,0.25280898876404495
0,0,274.8,42.0,1.0,10.5,6.542857142857143,0.023809523809523808
0,0,193.14,22.0,0.0,5.17,8.77909090909091,0.0
0,0,392.27,110.0,56.0,93.08,3.5660909090909088,0.509090909090909
0,0,738.57,169.0,113.0,142.65,4.370236686390533,0.6686390532544378
0,0,255.93,23.0,0.0,3.79,11.127391304347826,0.0
0,0,704.73,177.0,99.0,137.84,3.981525423728814,0.559322033898305
0,0,992.28,105.0,29.0,69.44,9.450285714285714,0.2761904761904762
0,0,1614.1,248.0,80.0,135.25,6.508467741935483,0.3225806451612903
0,0,995.7,185.0,92.0,130.7,5.382162162162162,0.4972972972972973
0,0,344.94,36.0,0.0,7.7,9.581666666666667,0.0
0,0,276.55,23.0,0.0,2.73,12.023913043478261,0.0
0,0,1003.2,166.0,62.0,101.35,6.043373493975904,0.37349397590361444
0,0,740.77,59.0,0.0,7.69,12.555423728813558,0.0
0,0,343.35,33.0,0.0,10.17,10.404545454545456,0.0
0,0,1105.32,194.0,100.0,137.19,5.697525773195876,0.5154639175257731
0,0,915.83,125.0,64.0,88.81,7.32664,0.512
0,0,678.09,36.0,0.0,7.55,18.835833333333333,0.0
0,0,458.19,57.0,7.0,17.63,8.038421052631579,0.12280701754385964
0,0,1056.75,140.0,24.0,74.1,7.548214285714286,0.17142857142857143
0,0,835.11,128.0,58.0,71.35,6.524296875,0.453125
0,0,1521.88,183.0,31.0,88.72,8.316284153005466,0.16939890710382513
0,0,636.45,147.0,62.0,107.79,4.329591836734695,0.4217687074829932
0,0,589.46,98.0,11.0,67.62,6.014897959183674,0.11224489795918367
0,0,211.89,19.0,0.0,4.35,11.152105263157894,0.0
0,0,796.54,113.0,21.0,64.32,7.049026548672566,0.18584070796460178
0,0,257.19,30.0,0.0,9.24,8.573,0.0
0,0,675.6,227.0,141.0,181.97,2.9762114537444937,0.6211453744493393
0,0,1169.18,206.0,64.0,147.83,5.675631067961166,0.3106796116504854
0,0,297.07,32.0,0.0,7.81,9.2834375,0.0
0,0,379.67,32.0,0.0,1.83,11.8646875,0.0
0,0,1091.99,175.0,33.0,124.53,6.239942857142857,0.18857142857142858
0,0,365.65,37.0,0.0,6.01,9.882432432432433,0.0
0,0,1058.38,182.0,35.0,114.93,5.815274725274726,0.19230769230769232
0,0,675.28,58.0,0.0,4.99,11.642758620689655,0.0
0,0,197.72,35.0,7.0,18.68,5.6491428571428575,0.2
0,0,115.48,44.0,24.0,34.29,2.6245454545454545,0.5454545454545454
0,0,991.24,104.0,29.0,48.35,9.531153846153845,0.27884615384615385
0,0,1096.6,231.0,141.0,189.99,4.747186147186147,0.6103896103896104
0,0,837.71,93.0,16.0,40.17,9.00763440860215,0.17204301075268819
0,0,524.93,51.0,0.0,11.39,10.292745098039214,0.0
0,0,955.91,184.0,39.0,132.55,5.195163043478261,0.21195652173913043
0,0,890.47,52.0,0.0,9.06,17.124423076923076,0.0
0,0,468.12,49.0,0.0,17.4,9.553469387755102,0.0
0,0,414.67,39.0,0.0,7.88,10.632564102564103,0.0
0,0,734.87,100.0,45.0,72.08,7.3487,0.45
0,0,718.82,76.0,2.0,21.48,9.458157894736843,0.02631578947368421
0,0,353.65,27.0,0.0,3.13,13.098148148148148,0.0
0,0,877.96,244.0,166.0,206.5,3.5981967213114756,0.680327868852459
0,0,181.14,16.0,0.0,0.75,11.32125,0.0
0,0,259.05,20.0,0.0,3.67,12.9525,0.0
0,0,157.93,20.0,3.0,8.46,7.8965000000000005,0.15
0,0,1163.91,303.0,173.0,229.18,3.8412871287128714,0.570957095709571
0,0,186.35,18.0,0.0,4.41,10.352777777777778,0.0
0,0,1488.04,225.0,89.0,127.39,6.613511111111111,0.39555555555555555
0,0,156.34,24.0,0.0,11.76,6.514166666666667,0.0
0,0,872.19,212.0,85.0,166.76,4.1141037735849055,0.4009433962264151
0,0,738.18,69.0,6.0,27.84,10.698260869565217,0.08695652173913043
0,0,397.32,30.0,0.0,4.33,13.244,0.0
0,0,430.91,57.0,8.0,22.68,7.559824561403509,0.14035087719298245
0,0,1106.24,183.0,77.0,130.11,6.045027322404372,0.4207650273224044
0,0,217.2,21.0,0.0,5.63,10.342857142857142,0.0
0,0,721.27,179.0,95.0,147.41,4.029441340782123,0.5307262569832403
0,0,710.4,411.0,301.0,311.79,1.7284671532846714,0.732360097323601
0,0,445.41,40.0,0.0,5.03,11.135250000000001,0.0
0,0,1122.26,292.0,135.0,206.26,3.8433561643835614,0.4623287671232877
0,0,257.83,13.0,0.0,0.41,19.833076923076923,0.0
0,0,1332.46,246.0,147.0,196.43,5.416504065040651,0.5975609756097561
0,0,256.78,157.0,128.0,145.2,1.6355414012738851,0.8152866242038217
0,0,829.81,76.0,17.0,32.84,10.918552631578947,0.2236842105263158
0,0,213.83,16.0,0.0,2.9,13.364375,0.0
0,0,694.21,441.0,373.0,405.32,1.5741723356009072,0.8458049886621315
0,0,583.14,257.0,162.0,209.88,2.2690272373540856,0.6303501945525292
0,0,1161.28,213.0,73.0,154.56,5.452018779342723,0.3427230046948357
0,0,738.82,257.0,170.0,217.22,2.874785992217899,0.6614785992217899
0,0,1097.49,289.0,176.0,237.34,3.7975432525951556,0.6089965397923875
0,0,1470.92,204.0,56.0,128.25,7.210392156862746,0.27450980392156865
0,0,95.7,12.0,0.0,4.55,7.9750000000000005,0.0
0,0,982.26,223.0,86.0,171.1,4.4047533632287,0.38565022421524664
0,0,684.65,49.0,0.0,7.31,13.972448979591837,0.0
0,0,784.2,346.0,260.0,312.21,2.2664739884393064,0.7514450867052023
0,0,1096.6,291.0,186.0,241.5,3.7683848797250854,0.6391752577319587
0,0,397.47,36.0,0.0,4.65,11.040833333333333,0.0
0,0,441.54,39.0,0.0,7.98,11.321538461538463,0.0
0,0,1232.99,243.0,80.0,175.99,5.0740329218107,0.3292181069958848
0,0,1016.93,179.0,40.0,119.58,5.681173184357542,0.22346368715083798
0,0,1037.53,169.0,70.0,111.61,6.139230769230769,0.41420118343195267
0,0,1170.94,231.0,58.0,167.43,5.069004329004329,0.2510822510822511
0,0,85.69,11.0,0.0,3.35,7.79,0.0
0,0,964.27,291.0,178.0,223.81,3.3136426116838487,0.6116838487972509
0,0,897.09,289.0,188.0,231.31,3.1041176470588234,0.6505190311418685
0,0,1158.65,224.0,44.0,151.87,5.172544642857143,0.19642857142857142
0,0,291.4,44.0,7.0,21.67,6.622727272727272,0.1590909090909091
0,0,218.49,31.0,3.0,9.76,7.048064516129033,0.0967741935483871
0,0,879.0,190.0,38.0,147.25,4.626315789473685,0.2
0,0,1278.42,351.0,246.0,298.94,3.6422222222222222,0.7008547008547008
0,0,45.75,14.0,3.0,9.64,3.267857142857143,0.21428571428571427
0,0,261.92,33.0,1.0,10.63,7.9369696969696975,0.030303030303030304
0,0,1331.13,316.0,144.0,249.67,4.21243670886076,0.45569620253164556
0,0,1416.92,174.0,60.0,92.26,8.143218390804599,0.3448275862068966
0,0,43.49,10.0,0.0,3.25,4.349,0.0
0,0,1149.47,207.0,65.0,149.76,5.552995169082125,0.3140096618357488
0,0,669.57,278.0,155.0,238.43,2.4085251798561154,0.5575539568345323
0,0,877.19,56.0,2.0,14.48,15.664107142857144,0.03571428571428571
0,0,223.61,20.0,0.0,2.97,11.1805,0.0
0,0,620.41,103.0,0.0,57.88,6.023398058252427,0.0
0,0,962.3,492.0,367.0,435.31,1.9558943089430894,0.7459349593495935
0,0,1137.67,401.0,296.0,336.07,2.837082294264339,0.7381546134663342
0,0,660.12,43.0,0.0,10.23,15.351627906976745,0.0
0,0,289.85,20.0,0.0,2.8,14.492500000000001,0.0
0,0,374.81,38.0,0.0,8.07,9.86342105263158,0.0
0,0,644.82,139.0,30.0,112.49,4.638992805755396,0.2158273381294964
0,0,601.17,128.0,26.0,97.13,4.696640625,0.203125
0,0,683.64,439.0,339.0,394.48,1.557266514806378,0.7722095671981777
0,0,1002.58,438.0,297.0,388.74,2.2889954337899545,0.678082191780822
0,0,1317.6,242.0,99.0,162.1,5.444628099173554,0.4090909090909091
0,0,207.22,17.0,0.0,0.85,12.189411764705882,0.0
0,0,364.12,226.0,170.0,210.92,1.6111504424778762,0.7522123893805309
