Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel,PredictedCongestion,SuggestedStrategy,ExpectedCongestion
0,0,1126.21,142.0,25.0,64.9,7.931056338028169,0.176056338028169,0.18544973,No Action,0.1854497343301773
0,0,1056.27,125.0,11.0,76.77,8.45016,0.088,0.096647374,No Action,0.09664737433195114
0,0,543.68,46.0,0.0,8.3,11.819130434782608,0.0,0.0010978804,No Action,0.0010978804202750325
0,0,201.03,45.0,24.0,30.1,4.467333333333333,0.5333333333333333,0.46308225,Traffic Diversion,0.37046580314636235
0,0,805.08,136.0,46.0,88.46,5.919705882352941,0.3382352941176471,0.3500333,Traffic Diversion,0.280026650428772
0,0,828.01,152.0,65.0,110.91,5.447434210526316,0.4276315789473684,0.4391798,Traffic Diversion,0.351343846321106
0,0,466.11,43.0,0.0,7.89,10.839767441860465,0.0,-0.0004072003,No Action,-0.00040720030665397644
0,0,429.11,45.0,1.0,11.67,9.535777777777778,0.0222222222222222,0.020055173,No Action,0.020055172964930534
0,0,1120.85,155.0,38.0,86.55,7.231290322580644,0.2451612903225806,0.25032383,No Action,0.2503238320350647
0,0,328.24,66.0,18.0,37.39,4.973333333333334,0.2727272727272727,0.300362,Traffic Diversion,0.24028959274291994
0,0,198.59,27.0,1.0,13.23,7.355185185185185,0.037037037037037,0.03497942,No Action,0.03497942164540291
0,0,317.8,31.0,0.0,4.86,10.251612903225809,0.0,0.0002548843,No Action,0.00025488430401310325
0,0,849.74,141.0,41.0,103.59,6.026524822695036,0.2907801418439716,0.28180176,No Action,0.2818017601966858
0,0,422.0,45.0,1.0,12.73,9.377777777777778,0.0222222222222222,0.01997959,No Action,0.01997959055006504
0,0,1446.67,162.0,17.0,56.05,8.930061728395062,0.1049382716049382,0.109898165,No Action,0.1098981648683548
0,0,170.84,29.0,5.0,14.95,5.891034482758621,0.1724137931034483,0.17308764,No Action,0.17308764159679413
0,0,319.55,62.0,25.0,38.36,5.154032258064516,0.4032258064516129,0.40262404,Traffic Diversion,0.32209923267364504
0,0,1052.45,157.0,36.0,107.5,6.703503184713376,0.2292993630573248,0.241768,No Action,0.2417680025100708
0,0,513.1,52.0,0.0,15.77,9.867307692307692,0.0,0.00033263676,No Action,0.000332636758685112
0,0,344.94,48.0,11.0,23.45,7.18625,0.2291666666666666,0.23333631,No Action,0.23333631455898285
0,0,684.52,122.0,57.0,91.27,5.610819672131147,0.4672131147540984,0.4575928,Traffic Diversion,0.3660742282867432
0,0,358.1,43.0,0.0,12.22,8.327906976744186,0.0,0.0030575313,No Action,0.003057531313970685
0,0,452.28,59.0,15.0,24.65,7.6657627118644065,0.2542372881355932,0.24630803,No Action,0.24630802869796753
0,0,796.44,191.0,109.0,135.91,4.169842931937173,0.5706806282722513,0.5625822,Traffic Diversion,0.45006575584411623
0,0,288.02,24.0,0.0,4.31,12.000833333333333,0.0,0.00013351039,No Action,0.00013351038796827197
0,0,115.96,16.0,0.0,5.97,7.2475,0.0,0.0008601779,No Action,0.0008601779118180275
0,0,1193.2,204.0,83.0,136.87,5.849019607843138,0.4068627450980392,0.38195106,Traffic Diversion,0.30556085109710696
0,0,628.5,79.0,11.0,21.13,7.955696202531645,0.1392405063291139,0.15146507,No Action,0.15146507322788239
0,0,116.0,17.0,0.0,5.68,6.823529411764706,0.0,0.0008648717,No Action,0.0008648717193864286
0,0,1180.28,203.0,90.0,129.38,5.814187192118227,0.4433497536945813,0.44295272,Traffic Diversion,0.35436217784881596
0,0,659.37,56.0,0.0,9.33,11.774464285714286,0.0,0.0030432183,No Action,0.003043218282982707
0,0,269.35,37.0,11.0,18.51,7.27972972972973,0.2972972972972973,0.26022613,No Action,0.26022613048553467
0,0,753.27,67.0,15.0,29.78,11.242835820895522,0.2238805970149253,0.21590957,No Action,0.21590957045555115
0,0,244.7,22.0,0.0,4.78,11.122727272727271,0.0,0.00025044417,No Action,0.00025044416543096304
0,0,978.01,72.0,16.0,30.16,13.583472222222222,0.2222222222222222,0.2181269,No Action,0.21812689304351807
0,0,399.39,39.0,0.0,8.63,10.24076923076923,0.0,-4.2965537e-05,No Action,-4.2965537431882694e-05
0,0,257.57,31.0,0.0,8.65,8.308709677419355,0.0,0.0013427638,No Action,0.0013427637750282884
0,0,1259.3,200.0,93.0,141.09,6.2965,0.465,0.4635557,Traffic Diversion,0.37084455490112306
0,0,593.07,54.0,0.0,5.76,10.98277777777778,0.0,0.006433857,No Action,0.006433857139199972
0,0,99.2,42.0,28.0,33.04,2.361904761904762,0.6666666666666666,0.55582577,Traffic Diversion,0.4446606159210205
0,0,420.95,36.0,0.0,4.75,11.693055555555556,0.0,-0.0004688823,No Action,-0.00046888229553587735
0,0,984.91,154.0,65.0,105.6,6.39551948051948,0.422077922077922,0.42339975,Traffic Diversion,0.3387197971343994
0,0,267.16,20.0,0.0,8.38,13.358,0.0,0.00025044417,No Action,0.00025044416543096304
0,0,336.91,54.0,26.0,36.56,6.239074074074074,0.4814814814814814,0.46292892,Traffic Diversion,0.3703431367874146
0,0,399.59,59.0,6.0,28.47,6.772711864406779,0.1016949152542373,0.09932605,No Action,0.09932605177164078
0,0,271.42,17.0,0.0,4.78,15.965882352941176,0.0,9.7595366e-05,No Action,9.759536624187604e-05
0,0,417.66,40.0,0.0,7.73,10.4415,0.0,-0.0001525817,No Action,-0.00015258170606102794
0,0,255.93,27.0,0.0,4.73,9.47888888888889,0.0,0.00018490464,No Action,0.00018490463844500482
0,0,49.4,10.0,0.0,4.34,4.94,0.0,-0.0006365483,No Action,-0.0006365483277477324
0,0,843.54,189.0,89.0,142.38,4.463174603174603,0.4708994708994709,0.46511912,Traffic Diversion,0.37209529876708985
0,0,706.03,237.0,140.0,192.03,2.9790295358649788,0.5907172995780591,0.6035417,Diversion + Signal Optimization,0.3621250033378601
0,0,293.05,20.0,0.0,0.89,14.6525,0.0,0.00015417261,No Action,0.00015417260874528438
0,0,379.67,26.0,0.0,1.23,14.602692307692308,0.0,0.00015601599,No Action,0.00015601598715875298
0,0,219.56,24.0,0.0,7.4,9.148333333333332,0.0,0.00025222573,No Action,0.00025222572730854154
